Sec,Ticks,msg_type,Channel,Notes,Velocities,Pedal,Tempo
45.2578125,0,"['note_off', 'note_on']",1,"[69, 68]","[49, 64]",,64.0
45.48046875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[54, 59, 52, 50]","[69, 64, 57, 64]",,64.0
45.4921875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[72, 77, 68, 69]","[33, 64, 51, 64]",,64.0
45.7265625,0,"['note_off', 'note_on']",0,"[69, 71]","[42, 64]",,64.0
45.9609375,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[77, 76, 71, 68]","[59, 64, 61, 64]",,64.0
46.18359375,0,"['note_off', 'note_on']",1,"[59, 60]","[66, 64]",,64.0
46.1953125,0,"['note_off', 'note_on']",1,"[68, 66]","[66, 64]",,64.0
46.41796875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[60, 59, 50, 52]","[27, 64, 59, 64]",,64.0
46.4296875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[76, 74, 66, 68]","[46, 64, 61, 64]",,64.0
46.65234375,0,"['note_off', 'note_on']",1,"[59, 57]","[37, 64]",,64.0
46.6640625,0,"['note_off', 'note_on']",1,"[68, 69]","[69, 64]",,64.0
46.88671875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[57, 56, 52, 53]","[53, 64, 68, 64]",,64.0
46.8984375,0,"['note_off', 'note_on']",1,"[69, 71]","[63, 64]",,64.0
47.35546875,0,"['note_on', 'note_off', 'note_on']",1,"[57, 53, 52]","[64, 50, 64]",,64.0
47.36328125,0.0078125,['note_off'],0,[56],[68],,64.0
47.3671875,0,"['note_off', 'note_on', 'note_off']",3,"[74, 72, 71]","[55, 64, 83]",,64.0
47.58984375,0,"['note_off', 'note_on']",0,"[52, 50]","[50, 64]",,64.0
47.6015625,0,"['note_off', 'note_on']",3,"[72, 71]","[66, 64]",,64.0
47.82421875,0,"['note_off', 'note_on']",0,"[50, 52]","[72, 64]",,64.0
47.8359375,0,"['note_off', 'note_on']",0,"[71, 72]","[70, 64]",,64.0
